time	V(vin)	V(vout)
3.516761599715860e-001	-5.191691e-004	-1.215365e-002
3.523391064001573e-001	-4.636827e-003	-1.626476e-002
3.530020528287287e-001	-8.732703e-003	-2.035244e-002
3.536649992573001e-001	-1.280680e-002	-2.441669e-002
3.543279456858714e-001	-1.685911e-002	-2.845751e-002
3.553850885430142e-001	-2.325819e-002	-3.483467e-002
3.564422314001569e-001	-2.944515e-002	-4.099608e-002
3.574993742572996e-001	-3.541998e-002	-4.694171e-002
3.585565171144424e-001	-4.118268e-002	-5.267158e-002
3.596136599715851e-001	-4.673326e-002	-5.818569e-002
3.606708028287278e-001	-5.207171e-002	-6.348403e-002
3.617279456858706e-001	-5.719803e-002	-6.856661e-002
3.635136599715847e-001	-6.523213e-002	-7.651758e-002
3.652993742572988e-001	-7.214454e-002	-8.334209e-002
3.670850885430129e-001	-7.793528e-002	-8.904015e-002
3.688708028287269e-001	-8.260433e-002	-9.361176e-002
3.706565171144410e-001	-8.615169e-002	-9.705690e-002
3.724422314001551e-001	-8.857737e-002	-9.937560e-002
3.742279456858692e-001	-8.988138e-002	-1.005678e-001
3.761279456858690e-001	-8.961757e-002	-1.001844e-001
3.780279456858688e-001	-8.804667e-002	-9.849921e-002
3.799279456858686e-001	-8.516868e-002	-9.551215e-002
3.818279456858684e-001	-8.098358e-002	-9.122324e-002
3.837279456858682e-001	-7.549139e-002	-8.563250e-002
3.856279456858680e-001	-6.869210e-002	-7.873991e-002
3.875279456858677e-001	-6.058571e-002	-7.054549e-002
3.886279456858676e-001	-5.545630e-002	-6.537131e-002
3.897279456858675e-001	-5.008195e-002	-5.995619e-002
3.908279456858674e-001	-4.446267e-002	-5.430012e-002
3.919279456858673e-001	-3.859845e-002	-4.840311e-002
3.930279456858671e-001	-3.248929e-002	-4.226516e-002
3.941279456858670e-001	-2.613519e-002	-3.588627e-002
3.952279456858669e-001	-1.953616e-002	-2.926642e-002
3.955850885430097e-001	-1.738230e-002	-2.710687e-002
3.959422314001525e-001	-1.521739e-002	-2.493675e-002
3.962993742572953e-001	-1.304144e-002	-2.275605e-002
3.966565171144382e-001	-1.085443e-002	-2.056479e-002
3.970136599715810e-001	-8.656389e-003	-1.836296e-002
3.973708028287238e-001	-6.447296e-003	-1.615055e-002
3.977279456858666e-001	-4.227158e-003	-1.392758e-002
3.978279456858666e-001	-3.604960e-003	-1.330468e-002
